date,total_steps
2026-01-01,4063
2026-01-02,4559
2026-01-03,2683
2026-01-04,6553
2026-01-05,8362
2026-01-06,7944
2026-01-07,5612
2026-01-08,3886
2026-01-09,11326
2026-01-10,6569
2026-01-11,4696
2026-01-12,2634
2026-01-13,3699
2026-01-14,4459
2026-01-15,10317
2026-01-16,4389
2026-01-17,8021
2026-01-18,11680
2026-01-19,8066
2026-01-20,11174
2026-01-21,6534
2026-01-22,6669
2026-01-23,3181
2026-01-24,5999
2026-01-25,4342
2026-01-26,6459
2026-01-27,5712
2026-01-28,4063
2026-01-29,6057
2026-01-30,8602
2026-01-31,7050
2026-02-01,8140
2026-02-02,2812
2026-02-03,4854
2026-02-04,7151
2026-02-05,5961
2026-02-06,6249
2026-02-07,5201
2026-02-08,478
2026-02-09,1619
2026-02-10,6152
2026-02-11,6462
2026-02-12,5408
2026-02-13,3418
2026-02-14,5633
2026-02-15,4856
2026-02-16,7964
2026-02-17,5418
2026-02-18,6675
2026-02-19,4496
2026-02-20,3900
2026-02-21,3348
2026-02-22,7773
2026-02-23,5829
2026-02-24,7791
2026-02-25,3281
2026-02-26,3746
2026-02-27,5431
2026-02-28,2159
2026-03-01,801
2026-03-02,6149
2026-03-03,4112
2026-03-04,2244
2026-03-05,5028
2026-03-06,4651
2026-03-07,3318
2026-03-08,1448
2026-03-09,3163
2026-03-10,5598
2026-03-11,5150
2026-03-12,3474
2026-03-13,3386
2026-03-14,4606
2026-03-15,7815
2026-03-16,4137
2026-03-17,5367
2026-03-18,2702
2026-03-19,746
2026-03-20,5836
2026-03-21,1094
2026-03-22,1314
2026-03-23,6104
2026-03-24,5799
2026-03-25,4744
2026-03-26,7026
2026-03-27,4750
2026-03-28,1748
2026-03-29,3181
2026-03-30,3659
2026-03-31,7562
2026-04-01,7414
2026-04-02,1774
2026-04-03,2012
2026-04-04,2859
2026-04-05,4476
2026-04-06,3970
2026-04-07,5915
2026-04-08,7397
2026-04-09,6872
2026-04-10,5414
2026-04-11,4756
2026-04-12,4689
2026-04-13,3785
2026-04-14,7309
